preCost,cost,itemDescription
0.163,1.63,detergent
0.745,7.45,candy
0.864,8.64,chewing gum
0.059,0.59,domestic eggs
0.857,8.57,yogurt
0.773,7.73,rum
0.643,6.43,domestic eggs
0.585,5.85,whipped/sour cream
0.307,3.07,canned beer
0.519,5.19,margarine
0.137,1.37,curd
0.201,2.01,root vegetables
0.447,4.47,pastry
0.564,5.64,root vegetables
0.207,2.07,whole milk
0.81,8.1,pasta
0.411,4.11,whole milk
0.742,7.42,whole milk
0.292,2.92,rolls/buns
0.812,8.12,rolls/buns
0.288,2.88,citrus fruit
0.085,0.85,packaged fruit/vegetables
0.717,7.17,long life bakery product
0.734,7.34,sauces
0.091,0.91,white wine
0.338,3.38,yogurt
0.627,6.27,brown bread
0.157,1.57,whole milk
0.127,1.27,whole milk
0.436,4.36,rolls/buns
0.697,6.97,margarine
0.486,4.86,ketchup
0.427,4.27,butter milk
0.401,4.01,domestic eggs
0.125,1.25,other vegetables
0.647,6.47,whipped/sour cream
0.443,4.43,brown bread
0.495,4.95,bottled water
0.846,8.46,rolls/buns
0.557,5.57,rolls/buns
0.6,6,soda
0.347,3.47,pastry
0.831,8.31,other vegetables
0.466,4.66,whipped/sour cream
0.104,1.04,curd
0.059,0.59,UHT-milk
0.875,8.75,whipped/sour cream
0.818,8.18,salty snack
0.133,1.33,yogurt
0.692,6.92,soda
0.011,0.11,rolls/buns
0.139,1.39,beverages
0.616,6.16,rolls/buns
0.751,7.51,pip fruit
0.509,5.09,beverages
0.462,4.62,cat food
0.002,0.02,yogurt
0.588,5.88,specialty chocolate
0.101,1.01,cream cheese
0.109,1.09,coffee
0.8,8,sliced cheese
0.339,3.39,sparkling wine
0.284,2.84,rolls/buns
0.879,8.79,dental care
0.454,4.54,rolls/buns
0.574,5.74,margarine
0.012,0.12,soda
0.108,1.08,curd cheese
0.176,1.76,canned beer
0.469,4.69,rolls/buns
0.889,8.89,shopping bags
0.333,3.33,cat food
0.296,2.96,shopping bags
0.924,9.24,hygiene articles
0.914,9.14,whole milk
0.53,5.3,butter
0.752,7.52,yogurt
0.786,7.86,curd
0.564,5.64,margarine
0.398,3.98,decalcifier
0.392,3.92,sliced cheese
0.185,1.85,coffee
0.85,8.5,rolls/buns
0.329,3.29,newspapers
0.386,3.86,soda
0.081,0.81,white wine
0.162,1.62,whole milk
0.464,4.64,liquor (appetizer)
0.585,5.85,butter milk
0.106,1.06,hygiene articles
0.577,5.77,whole milk
0.082,0.82,yogurt
0.03,0.3,abrasive cleaner
0.028,0.28,yogurt
0,0,rum
0.045,0.45,canned beer
0.268,2.68,whipped/sour cream
0.266,2.66,semi-finished bread
0.514,5.14,citrus fruit
0.773,7.73,domestic eggs
0.513,5.13,root vegetables
0.472,4.72,condensed milk
0.348,3.48,whipped/sour cream
0.987,9.87,Instant food products
0.647,6.47,cream cheese
0.46,4.6,yogurt
0.18,1.8,chocolate
0.846,8.46,other vegetables
0.362,3.62,bottled beer
0.828,8.28,berries
0.556,5.56,yogurt
0.665,6.65,specialty bar
0.509,5.09,coffee
0.204,2.04,shopping bags
0.592,5.92,domestic eggs
0.299,2.99,whipped/sour cream
0.279,2.79,yogurt
0.368,3.68,berries
0.309,3.09,packaged fruit/vegetables
0.959,9.59,rolls/buns
0.587,5.87,coffee
0.464,4.64,UHT-milk
0.056,0.56,semi-finished bread
0.314,3.14,frozen meals
0.231,2.31,margarine
0.037,0.37,brown bread
0.8,8,newspapers
0.33,3.3,butter
0.975,9.75,brown bread
0.676,6.76,butter
0.865,8.65,whole milk
0.915,9.15,cream cheese
0.145,1.45,organic products
0.833,8.33,whole milk
0.163,1.63,butter
0.044,0.44,rolls/buns
0.144,1.44,pip fruit
0.589,5.89,bottled water
0.635,6.35,beverages
0.917,9.17,root vegetables
0.149,1.49,curd
0.246,2.46,curd
0.067,0.67,domestic eggs
0.416,4.16,pastry
0.945,9.45,jam
0.784,7.84,whole milk
0.187,1.87,onions
0.378,3.78,coffee
0.235,2.35,whole milk
0.946,9.46,frozen vegetables
0.53,5.3,whole milk
0.159,1.59,frozen fish
0.102,1.02,beverages
0.928,9.28,root vegetables
0.609,6.09,margarine
0.737,7.37,chocolate
0.938,9.38,whole milk
0.952,9.52,pip fruit
0.445,4.45,herbs
0.553,5.53,root vegetables
0.338,3.38,instant coffee
0.166,1.66,napkins
0.668,6.68,berries
0.649,6.49,soda
0.252,2.52,rolls/buns
0.398,3.98,brown bread
0.852,8.52,tropical fruit
0.603,6.03,cream cheese
0.222,2.22,sliced cheese
0.326,3.26,beverages
0.194,1.94,rolls/buns
0.642,6.42,rolls/buns
0.841,8.41,soda
0.936,9.36,rolls/buns
0.622,6.22,frozen vegetables
0.963,9.63,pastry
0.139,1.39,soda
0.263,2.63,other vegetables
0.953,9.53,artif. sweetener
0.313,3.13,yogurt
0.975,9.75,dessert
0.085,0.85,flour
0.993,9.93,bottled water
0.84,8.4,bottled beer
0.863,8.63,ice cream
0.329,3.29,yogurt
0.335,3.35,brown bread
0.103,1.03,misc. beverages
0.861,8.61,yogurt
0.689,6.89,yogurt
0.571,5.71,other vegetables
0.127,1.27,pickled vegetables
0.296,2.96,canned vegetables
0.033,0.33,butter
0.602,6.02,beverages
0.219,2.19,whole milk
0.835,8.35,salty snack
0.379,3.79,candles
0.158,1.58,chewing gum
0.128,1.28,hard cheese
0.785,7.85,other vegetables
0.703,7.03,other vegetables
0.728,7.28,flour
0.305,3.05,domestic eggs
0.846,8.46,white bread
0.31,3.1,domestic eggs
0.984,9.84,yogurt
0.467,4.67,softener
0.542,5.42,salty snack
0.83,8.3,chocolate
0.388,3.88,yogurt
0.417,4.17,specialty chocolate
0.58,5.8,sugar
0.159,1.59,dessert
0.903,9.03,white wine
0.2,2,other vegetables
0.412,4.12,tropical fruit
0.428,4.28,processed cheese
0.512,5.12,yogurt
0.317,3.17,detergent
0.365,3.65,flower soil/fertilizer
0.767,7.67,oil
0.769,7.69,frozen vegetables
0.871,8.71,yogurt
0.512,5.12,curd
0.625,6.25,domestic eggs
0.502,5.02,root vegetables
0.321,3.21,rolls/buns
0.614,6.14,yogurt
0.292,2.92,hygiene articles
0.156,1.56,root vegetables
0.729,7.29,canned beer
0.518,5.18,butter
0.151,1.51,white bread
0.506,5.06,misc. beverages
0.537,5.37,yogurt
0.089,0.89,root vegetables
0.414,4.14,root vegetables
0.164,1.64,root vegetables
0.367,3.67,other vegetables
0.59,5.9,bottled water
0.644,6.44,margarine
0.713,7.13,dish cleaner
0.618,6.18,waffles
0.57,5.7,pasta
0.784,7.84,specialty chocolate
0.915,9.15,bottled beer
0.78,7.8,shopping bags
0.738,7.38,margarine
0.207,2.07,yogurt
0.069,0.69,whole milk
0.199,1.99,pasta
0.238,2.38,yogurt
0.459,4.59,chewing gum
0.502,5.02,margarine
0.488,4.88,other vegetables
0.857,8.57,root vegetables
0.546,5.46,brown bread
0.477,4.77,soft cheese
0.87,8.7,domestic eggs
0.167,1.67,whole milk
0.875,8.75,cake bar
0.021,0.21,zwieback
0.162,1.62,grapes
0.271,2.71,curd
0.014,0.14,butter
0.104,1.04,curd
0.96,9.6,specialty bar
0.025,0.25,hard cheese
0.945,9.45,grapes
0.125,1.25,specialty cheese
0.707,7.07,other vegetables
0.503,5.03,sliced cheese
0.557,5.57,long life bakery product
0.183,1.83,curd
0.482,4.82,pastry
0.921,9.21,other vegetables
0.074,0.74,condensed milk
0.429,4.29,bottled water
0.038,0.38,yogurt
0.926,9.26,whole milk
0.96,9.6,specialty chocolate
0.972,9.72,pip fruit
0.042,0.42,dessert
0.332,3.32,UHT-milk
0.61,6.1,chocolate
0.318,3.18,coffee
0.537,5.37,margarine
0.004,0.04,onions
0.503,5.03,domestic eggs
0.295,2.95,cream cheese
0.918,9.18,white bread
0.13,1.3,pip fruit
0.508,5.08,cream cheese
0.893,8.93,frozen meals
0.526,5.26,rolls/buns
0.823,8.23,bottled water
0.202,2.02,frozen meals
0.031,0.31,yogurt
0.139,1.39,shopping bags
0.657,6.57,grapes
0.295,2.95,soda
0.751,7.51,cream cheese
0.603,6.03,fruit/vegetable juice
0.269,2.69,curd
0.601,6.01,soda
0.28,2.8,white wine
0.082,0.82,processed cheese
0.381,3.81,napkins
0.445,4.45,bottled beer
0.898,8.98,fruit/vegetable juice
0.991,9.91,dental care
0.557,5.57,soda
1,10,rolls/buns
0.967,9.67,yogurt
0.571,5.71,other vegetables
0.187,1.87,margarine
0.485,4.85,herbs
0.256,2.56,yogurt
0.889,8.89,other vegetables
0.553,5.53,bottled water
0.5,5,shopping bags
0.711,7.11,ice cream
0.985,9.85,coffee
0.897,8.97,photo/film
0.386,3.86,long life bakery product
0.196,1.96,bottled beer
0.407,4.07,fruit/vegetable juice
0.119,1.19,candy
0.018,0.18,oil
0.451,4.51,brown bread
0.348,3.48,dessert
0.316,3.16,mayonnaise
0.629,6.29,light bulbs
0.214,2.14,ketchup
0.78,7.8,napkins
0.696,6.96,specialty chocolate
0.913,9.13,yogurt
0.9,9,butter
0.6,6,roll products
0.978,9.78,rolls/buns
0.058,0.58,whole milk
0.544,5.44,cream cheese
0.85,8.5,whole milk
0.012,0.12,whole milk
0.295,2.95,UHT-milk
0.345,3.45,whipped/sour cream
0.463,4.63,chewing gum
0.8,8,pickled vegetables
0.833,8.33,butter milk
0.918,9.18,soda
0.54,5.4,soda
0.567,5.67,pastry
0.557,5.57,soda
0.213,2.13,other vegetables
0.342,3.42,rolls/buns
0.803,8.03,shopping bags
0.936,9.36,ice cream
0.608,6.08,ham
0.481,4.81,yogurt
0.535,5.35,rolls/buns
0.41,4.1,pip fruit
0.049,0.49,specialty fat
0.076,0.76,bottled beer
0.551,5.51,newspapers
0.118,1.18,domestic eggs
0.804,8.04,other vegetables
0.496,4.96,whipped/sour cream
0.945,9.45,berries
0.156,1.56,frozen potato products
0.91,9.1,shopping bags
0.238,2.38,fruit/vegetable juice
0.475,4.75,whole milk
0.972,9.72,canned beer
0.416,4.16,zwieback
0.256,2.56,pip fruit
0.304,3.04,soda
0.366,3.66,root vegetables
0.637,6.37,whole milk
0.453,4.53,pastry
0.197,1.97,curd
0.207,2.07,frozen vegetables
0.936,9.36,yogurt
0.353,3.53,curd cheese
0.685,6.85,whole milk
0.119,1.19,fruit/vegetable juice
0.639,6.39,coffee
0.182,1.82,hamburger meat
0.171,1.71,curd
0.586,5.86,whole milk
0.925,9.25,rolls/buns
0.199,1.99,flour
0.284,2.84,soda
0.795,7.95,domestic eggs
0.312,3.12,baking powder
0.478,4.78,onions
0.912,9.12,pastry
0.798,7.98,waffles
0.496,4.96,other vegetables
0.467,4.67,UHT-milk
0.385,3.85,other vegetables
0.244,2.44,onions
0.634,6.34,soda
0.486,4.86,chocolate
0.516,5.16,curd
0.788,7.88,yogurt
0.561,5.61,pasta
0.543,5.43,newspapers
0.227,2.27,shopping bags
0.95,9.5,root vegetables
0.086,0.86,white bread
0.662,6.62,frozen meals
0.461,4.61,onions
0.723,7.23,butter
0.419,4.19,chewing gum
0.758,7.58,berries
0.437,4.37,salt
0.599,5.99,berries
0.446,4.46,rolls/buns
0.17,1.7,canned beer
0.789,7.89,whole milk
0.989,9.89,whole milk
0.166,1.66,specialty bar
0.812,8.12,whole milk
0.61,6.1,pip fruit
0.892,8.92,bottled beer
0.41,4.1,prosecco
0.18,1.8,chocolate marshmallow
0.981,9.81,sugar
0.207,2.07,other vegetables
0.369,3.69,rolls/buns
0.182,1.82,soda
0.452,4.52,yogurt
0.109,1.09,yogurt
0.728,7.28,bottled beer
0.32,3.2,vinegar
0.856,8.56,canned vegetables
0.408,4.08,root vegetables
0.751,7.51,bottled water
0.223,2.23,dessert
0.082,0.82,chicken
0.601,6.01,pot plants
0.259,2.59,onions
0.409,4.09,red/blush wine
0.014,0.14,chocolate
0.129,1.29,domestic eggs
0.437,4.37,frozen dessert
0.098,0.98,chewing gum
0.828,8.28,cling film/bags
0.52,5.2,curd
0.349,3.49,margarine
0.313,3.13,shopping bags
0.008,0.08,dishes
0.69,6.9,other vegetables
0.091,0.91,soda
0.247,2.47,canned beer
0.105,1.05,salty snack
0.133,1.33,butter
0.444,4.44,whole milk
0.877,8.77,sparkling wine
0.186,1.86,soda
0.084,0.84,berries
0.189,1.89,butter milk
0.925,9.25,whole milk
0.489,4.89,soda
0.356,3.56,bottled beer
0.31,3.1,bottled water
0.813,8.13,specialty bar
0.17,1.7,spread cheese
0.943,9.43,rolls/buns
0.433,4.33,canned beer
0.067,0.67,brandy
0.426,4.26,chocolate
0.777,7.77,yogurt
0.739,7.39,salt
0.731,7.31,grapes
0.755,7.55,coffee
0.681,6.81,margarine
0.108,1.08,rolls/buns
0.611,6.11,dessert
0.433,4.33,chocolate marshmallow
0.835,8.35,soda
0.741,7.41,ice cream
0.151,1.51,butter
0.704,7.04,grapes
0.374,3.74,soda
0.371,3.71,domestic eggs
0.256,2.56,fruit/vegetable juice
0.927,9.27,vinegar
0.411,4.11,long life bakery product
0.167,1.67,sweet spreads
0.879,8.79,pastry
0.664,6.64,shopping bags
0.863,8.63,yogurt
0.568,5.68,fruit/vegetable juice
0.002,0.02,butter
0.605,6.05,whipped/sour cream
0.255,2.55,bottled water
0.252,2.52,liquor (appetizer)
0.429,4.29,frozen vegetables
0.952,9.52,rolls/buns
0.831,8.31,cling film/bags
0.589,5.89,fruit/vegetable juice
0.006,0.06,dishes
0.068,0.68,napkins
0.13,1.3,yogurt
0.285,2.85,root vegetables
0.623,6.23,coffee
0.923,9.23,candles
0.914,9.14,shopping bags
0.155,1.55,newspapers
0.928,9.28,rolls/buns
0.266,2.66,brown bread
0.797,7.97,curd
0.147,1.47,margarine
0.257,2.57,jam
0.651,6.51,brown bread
0.266,2.66,grapes
0.46,4.6,oil
0.068,0.68,Instant food products
0.782,7.82,bottled water
0.339,3.39,canned fruit
0.086,0.86,soda
0.386,3.86,napkins
0.475,4.75,chewing gum
0.372,3.72,long life bakery product
0.97,9.7,packaged fruit/vegetables
0.661,6.61,vinegar
0.815,8.15,flour
0.299,2.99,other vegetables
0.268,2.68,rolls/buns
0.415,4.15,whole milk
0.441,4.41,salt
0.958,9.58,detergent
0.465,4.65,oil
0.083,0.83,whole milk
0.364,3.64,ice cream
0.149,1.49,soda
0.693,6.93,chewing gum
0.545,5.45,beverages
0.258,2.58,pastry
0.418,4.18,bottled water
0.418,4.18,domestic eggs
0.741,7.41,soft cheese
0.631,6.31,yogurt
0.462,4.62,brown bread
0.306,3.06,canned beer
0.493,4.93,whole milk
0.57,5.7,shopping bags
0.29,2.9,pastry
0.665,6.65,fruit/vegetable juice
0.571,5.71,root vegetables
0.781,7.81,butter
0.052,0.52,curd
0.072,0.72,napkins
0.358,3.58,soda
0.965,9.65,bottled beer
0.802,8.02,pickled vegetables
0.724,7.24,bottled water
0.889,8.89,margarine
0.404,4.04,other vegetables
0.363,3.63,chocolate
0.378,3.78,root vegetables
0.053,0.53,UHT-milk
0.713,7.13,shopping bags
0.72,7.2,pastry
0.666,6.66,mustard
0.13,1.3,butter milk
0.973,9.73,frozen vegetables
0.545,5.45,rolls/buns
0.368,3.68,waffles
0.641,6.41,rolls/buns
0.054,0.54,bottled beer
0.064,0.64,roll products
0.868,8.68,yogurt
0.999,9.99,spread cheese
0.911,9.11,whole milk
0.442,4.42,whole milk
0.59,5.9,shopping bags
0.042,0.42,other vegetables
0.589,5.89,newspapers
0.135,1.35,yogurt
0.879,8.79,mustard
0.596,5.96,rolls/buns
0.515,5.15,brown bread
0.857,8.57,oil
0.135,1.35,other vegetables
0.55,5.5,margarine
0.974,9.74,yogurt
0.695,6.95,brown bread
0.3,3,bottled water
0.004,0.04,processed cheese
0.578,5.78,whole milk
0.198,1.98,specialty bar
0.907,9.07,soda
0.5,5,pet care
0.961,9.61,cream cheese
0.247,2.47,dessert
0.989,9.89,butter
0.784,7.84,spread cheese
0.596,5.96,newspapers
0.491,4.91,bottled water
0.118,1.18,canned beer
0.786,7.86,pastry
0.852,8.52,soda
0.561,5.61,liquor
0.875,8.75,butter
0.43,4.3,whole milk
0.545,5.45,salad dressing
0.01,0.1,pastry
0.807,8.07,other vegetables
0.25,2.5,pip fruit
0.866,8.66,yogurt
0.936,9.36,bottled beer
0.194,1.94,other vegetables
0.95,9.5,yogurt
0.946,9.46,baking powder
0.859,8.59,candles
0.237,2.37,chocolate
0.537,5.37,dog food
0.018,0.18,mayonnaise
0.457,4.57,red/blush wine
0.939,9.39,candy
0.388,3.88,fruit/vegetable juice
0.598,5.98,frozen vegetables
0.774,7.74,onions
0.421,4.21,pastry
0.071,0.71,pot plants
0.321,3.21,soda
0.004,0.04,canned beer
0.967,9.67,white bread
0.925,9.25,candy
0.404,4.04,bottled beer
0.938,9.38,curd
0.818,8.18,yogurt
0.117,1.17,frozen vegetables
0.495,4.95,canned beer
0.539,5.39,other vegetables
0.969,9.69,dishes
0.967,9.67,potato products
0.783,7.83,bottled beer
0.897,8.97,shopping bags
0.678,6.78,spices
0.045,0.45,canned fish
0.394,3.94,pip fruit
0.702,7.02,popcorn
0.568,5.68,candy
0.426,4.26,other vegetables
0.507,5.07,red/blush wine
0.957,9.57,margarine
0.661,6.61,soda
0.812,8.12,flour
0.833,8.33,whole milk
0.556,5.56,bottled water
0.608,6.08,frozen vegetables
0.01,0.1,butter milk
0.152,1.52,rolls/buns
0.157,1.57,curd
0.141,1.41,pastry
0.068,0.68,frozen vegetables
0.636,6.36,whipped/sour cream
0.418,4.18,frozen meals
0.586,5.86,salt
0.569,5.69,pastry
0.915,9.15,fruit/vegetable juice
0.648,6.48,soups
0.359,3.59,canned vegetables
0.363,3.63,canned beer
0.226,2.26,red/blush wine
0.308,3.08,curd
0.715,7.15,curd
0.648,6.48,soda
0.449,4.49,brown bread
0.178,1.78,whole milk
0.731,7.31,butter
0.428,4.28,canned beer
0.249,2.49,root vegetables
0.146,1.46,sweet spreads
0.526,5.26,curd
0.142,1.42,frozen vegetables
0.409,4.09,bottled water
0.334,3.34,canned beer
0.689,6.89,rolls/buns
0.773,7.73,napkins
0.552,5.52,root vegetables
0.797,7.97,other vegetables
0.619,6.19,packaged fruit/vegetables
0.013,0.13,red/blush wine
0.582,5.82,sugar
0.083,0.83,pastry
0.458,4.58,canned fish
0.635,6.35,cream cheese
0.482,4.82,mayonnaise
0.561,5.61,pip fruit
0.379,3.79,rolls/buns
0.838,8.38,pastry
0.342,3.42,condensed milk
0.116,1.16,rolls/buns
0.201,2.01,rolls/buns
0.468,4.68,citrus fruit
0.342,3.42,tropical fruit
0.817,8.17,herbs
0.218,2.18,whipped/sour cream
0.891,8.91,rolls/buns
0.704,7.04,other vegetables
0.364,3.64,frozen vegetables
0.238,2.38,dessert
0.757,7.57,other vegetables
0.2,2,pip fruit
0.248,2.48,canned vegetables
0.665,6.65,domestic eggs
0.561,5.61,rolls/buns
0.249,2.49,shopping bags
0.868,8.68,canned beer
0.508,5.08,white wine
0.732,7.32,pork
0.141,1.41,rolls/buns
0.623,6.23,pastry
0.369,3.69,rolls/buns
0.606,6.06,curd
0.621,6.21,soda
0.974,9.74,whole milk
0.882,8.82,Instant food products
0.255,2.55,bottled water
0.907,9.07,yogurt
0.033,0.33,rolls/buns
0.169,1.69,seasonal products
0.414,4.14,dishes
0.855,8.55,coffee
0.415,4.15,pastry
0.988,9.88,long life bakery product
0.102,1.02,whole milk
0.335,3.35,artif. sweetener
0.791,7.91,coffee
0.831,8.31,salty snack
0.939,9.39,pickled vegetables
0.039,0.39,whole milk
0.182,1.82,citrus fruit
0.772,7.72,dessert
0.033,0.33,dessert
0.951,9.51,shopping bags
0.001,0.01,yogurt
0.39,3.9,specialty bar
0.642,6.42,domestic eggs
0.72,7.2,other vegetables
0.236,2.36,rice
0.702,7.02,shopping bags
0.7,7,pip fruit
0.986,9.86,snack products
0.107,1.07,berries
0.856,8.56,shopping bags
0.322,3.22,domestic eggs
0.808,8.08,oil
0.729,7.29,fruit/vegetable juice
0.81,8.1,whipped/sour cream
0.589,5.89,yogurt
0.626,6.26,whole milk
0.702,7.02,canned beer
0.837,8.37,specialty chocolate
0.496,4.96,bottled water
0.522,5.22,coffee
0.849,8.49,UHT-milk
0.274,2.74,dessert
0.984,9.84,light bulbs
0.768,7.68,other vegetables
0.213,2.13,frozen vegetables
0.941,9.41,spices
0.137,1.37,dish cleaner
0.954,9.54,domestic eggs
0.968,9.68,spices
0.777,7.77,berries
0.738,7.38,newspapers
0.299,2.99,potato products
0.725,7.25,whole milk
0.527,5.27,pastry
0.296,2.96,flower (seeds)
0.8,8,bottled water
0.485,4.85,pastry
0.673,6.73,napkins
0.316,3.16,semi-finished bread
0.141,1.41,roll products
0.952,9.52,processed cheese
0.524,5.24,dessert
0.645,6.45,whole milk
0.826,8.26,dessert
0.066,0.66,domestic eggs
0.864,8.64,cocoa drinks
0.624,6.24,sweet spreads
0.323,3.23,pickled vegetables
0.343,3.43,other vegetables
0.619,6.19,bottled water
0.157,1.57,ice cream
0.98,9.8,chewing gum
0.342,3.42,coffee
0.934,9.34,frozen vegetables
0.975,9.75,rolls/buns
0.692,6.92,chewing gum
0.133,1.33,detergent
0.457,4.57,soda
0.193,1.93,cake bar
0.787,7.87,shopping bags
0.106,1.06,chocolate
0.142,1.42,whole milk
0.097,0.97,yogurt
0.273,2.73,specialty chocolate
0.262,2.62,artif. sweetener
0.905,9.05,frozen meals
0.627,6.27,rolls/buns
0.888,8.88,rolls/buns
0.882,8.82,vinegar
0.975,9.75,domestic eggs
0.238,2.38,hard cheese
0.029,0.29,frozen meals
0.027,0.27,white bread
0.343,3.43,brown bread
0.424,4.24,yogurt
0.718,7.18,UHT-milk
0.737,7.37,cat food
0.268,2.68,liquor (appetizer)
0.658,6.58,brown bread
0.13,1.3,mayonnaise
0.468,4.68,bottled beer
0.857,8.57,curd
0.763,7.63,frozen fish
0.29,2.9,grapes
0.526,5.26,whole milk
0.688,6.88,sweet spreads
0.085,0.85,brown bread
0.155,1.55,specialty chocolate
0.681,6.81,fruit/vegetable juice
0.371,3.71,frozen dessert
0.78,7.8,shopping bags
0.906,9.06,hard cheese
0.215,2.15,curd
0.699,6.99,cream cheese
0.015,0.15,whole milk
0.485,4.85,root vegetables
0.075,0.75,sweet spreads
0.712,7.12,bottled water
0.504,5.04,berries
0.366,3.66,frozen dessert
0.173,1.73,domestic eggs
0.454,4.54,specialty bar
0.275,2.75,brown bread
0.482,4.82,mustard
0.355,3.55,tropical fruit
0.466,4.66,shopping bags
0.05,0.5,pastry
0.036,0.36,rolls/buns
0.836,8.36,other vegetables
0.228,2.28,pip fruit
0.92,9.2,flour
0.574,5.74,jam
0.837,8.37,soda
0.468,4.68,domestic eggs
0.557,5.57,pastry
0.063,0.63,frozen vegetables
0.894,8.94,whipped/sour cream
0.156,1.56,canned fish
1,10,soda
0.995,9.95,yogurt
0.99,9.9,whole milk
0.492,4.92,canned beer
0.092,0.92,soda
0.192,1.92,beverages
0.776,7.76,oil
0.273,2.73,shopping bags
0.43,4.3,whipped/sour cream
0.718,7.18,fruit/vegetable juice
0.966,9.66,candy
0.515,5.15,white wine
0.429,4.29,other vegetables
0.025,0.25,frozen vegetables
0.217,2.17,curd
0.958,9.58,beverages
0.171,1.71,domestic eggs
0.307,3.07,yogurt
0.329,3.29,yogurt
0.976,9.76,butter milk
0.965,9.65,specialty chocolate
0.884,8.84,sugar
0.66,6.6,candy
0.169,1.69,dental care
0.804,8.04,oil
0.541,5.41,canned vegetables
0.361,3.61,bottled water
0.075,0.75,fruit/vegetable juice
0.672,6.72,rolls/buns
0.474,4.74,whole milk
0.143,1.43,cream cheese
0.854,8.54,chewing gum
0.267,2.67,bottled water
0.661,6.61,rolls/buns
0.83,8.3,yogurt
0.69,6.9,margarine
0.543,5.43,canned fish
0.856,8.56,newspapers
0.802,8.02,sweet spreads
0.365,3.65,bottled water
0.699,6.99,other vegetables
0.086,0.86,soda
0.698,6.98,newspapers
0.3,3,brown bread
0.97,9.7,processed cheese
0.981,9.81,processed cheese
0.742,7.42,soda
0.007,0.07,cake bar
0.31,3.1,whole milk
0.833,8.33,butter
0.696,6.96,rolls/buns
0.875,8.75,artif. sweetener
0.852,8.52,margarine
0.196,1.96,whole milk
0.496,4.96,napkins
0.473,4.73,root vegetables
0.379,3.79,sauces
0.122,1.22,whole milk
0.833,8.33,pip fruit
0.062,0.62,whipped/sour cream
0.897,8.97,red/blush wine
0.545,5.45,other vegetables
0.674,6.74,frozen vegetables
0.501,5.01,whipped/sour cream
0.539,5.39,sugar
0.694,6.94,bottled water
0.435,4.35,other vegetables
0.636,6.36,sugar
0.816,8.16,shopping bags
0.301,3.01,canned beer
0.27,2.7,semi-finished bread
0.62,6.2,soda
0.95,9.5,whole milk
0.092,0.92,curd
0.363,3.63,whole milk
0.829,8.29,newspapers
0.029,0.29,condensed milk
0.048,0.48,pastry
0.909,9.09,tropical fruit
0.335,3.35,frozen fish
0.359,3.59,whipped/sour cream
0.45,4.5,cream cheese
0.95,9.5,roll products
0.627,6.27,pastry
0.528,5.28,brown bread
0.975,9.75,turkey
0.873,8.73,yogurt
0.669,6.69,citrus fruit
0.306,3.06,whole milk
0.78,7.8,frozen vegetables
0.977,9.77,sugar
0.807,8.07,condensed milk
0.357,3.57,whole milk
0.131,1.31,soda
0.817,8.17,red/blush wine
0.1,1,napkins
0.905,9.05,whole milk
0.912,9.12,softener
0.56,5.6,liquor (appetizer)
0.213,2.13,margarine
0.91,9.1,whipped/sour cream
0.535,5.35,pastry
0.022,0.22,canned beer
0.892,8.92,rolls/buns
0.727,7.27,whole milk
0.367,3.67,baking powder
0.861,8.61,root vegetables
0.768,7.68,jam
0.477,4.77,cat food
0.534,5.34,rolls/buns
0.115,1.15,house keeping products
0.85,8.5,specialty cheese
0.28,2.8,soda
0.136,1.36,hygiene articles
0.587,5.87,bottled beer
0.971,9.71,ketchup
0.6,6,yogurt
0.881,8.81,cream cheese
0.332,3.32,flour
0.823,8.23,yogurt
0.612,6.12,fruit/vegetable juice
0.215,2.15,spread cheese
0.919,9.19,bottled water
0.803,8.03,root vegetables
0.615,6.15,fruit/vegetable juice
0.541,5.41,cat food
0.491,4.91,bottled water
0.353,3.53,dishes
0.9,9,salt
0.061,0.61,yogurt
0.303,3.03,yogurt
0.931,9.31,soda
0.137,1.37,other vegetables
0.294,2.94,soda
0.915,9.15,white wine
0.171,1.71,newspapers
0.622,6.22,hard cheese
0.376,3.76,root vegetables
0.9,9,rolls/buns
0.028,0.28,rolls/buns
0.754,7.54,pip fruit
0.458,4.58,cream cheese
0.384,3.84,butter
0.029,0.29,onions
0.2,2,photo/film
0.036,0.36,fruit/vegetable juice
0.386,3.86,rolls/buns
0.284,2.84,yogurt
0.392,3.92,root vegetables
0.091,0.91,spread cheese
0.295,2.95,condensed milk
0.095,0.95,whole milk
0.403,4.03,oil
0.054,0.54,grapes
0.486,4.86,newspapers
0.762,7.62,soda
0.518,5.18,mayonnaise
0.796,7.96,whole milk
0.266,2.66,margarine
0.406,4.06,yogurt
0.388,3.88,soda
0.153,1.53,other vegetables
0.35,3.5,shopping bags
0.653,6.53,frozen vegetables
0.068,0.68,candles
0.579,5.79,rolls/buns
0.604,6.04,yogurt
0.751,7.51,hard cheese
0.271,2.71,specialty cheese
0.704,7.04,whole milk
0.17,1.7,whipped/sour cream
0.632,6.32,herbs
0.144,1.44,chewing gum
0.972,9.72,whole milk
0.037,0.37,whole milk
0.917,9.17,hard cheese
0.258,2.58,napkins
0.07,0.7,soda
0.715,7.15,curd
0.417,4.17,soda
0.357,3.57,bottled water
0.062,0.62,specialty chocolate
0.439,4.39,specialty chocolate
0.987,9.87,pastry
0.851,8.51,whole milk
0.888,8.88,yogurt
0.799,7.99,shopping bags
0.467,4.67,root vegetables
